Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Shipping Address,Billing Address,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details,Item Serial Number
Amazon.it,ANON-602-2768040-2501652,2026-01-18T11:33:03Z,Not Applicable,EUR,14.8,4.76,0,0,25.76,20.74,4.14,B0V3A3ZMF8,New,1,Gift Certificate/Card,Closed,Shipped,2026-01-18T21:01:07.914Z,next-it,"Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy","Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy",CORRIERE_IT(BQE7CKW5NGCX),"Casco da ciclismo SafeRide di CycleMax, leggero e resistente. Dispone di 18 fori di ventilazione e fibbia regolabile. Colore bianco e blu, taglia unica, garantisce sicurezza e comfort durante le tue pedalate.",Not Available,Not Available,Not Available,Not Available
Amazon.it,ANON-798-8348136-7606524,2026-01-16T06:21:54Z,Not Applicable,EUR,11.27,1.56,0,0,21.56,13.35,3.35,B0J7YHL1C3,New,1,Gift Certificate/Card,Closed,Shipped,2026-01-17T02:30:42.087Z,next-it,"Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy","Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy",CORRIERE_IT(HR5XFF0T0PVN),"Pantaloni da corsa Active Line di RunPro, in tessuto leggero e traspirante. Disponibili in taglia M e L, colore grigio antracite. La vita elasticizzata e le tasche con zip rendono questo modello versatile e funzionale.",Not Available,Not Available,Not Available,Not Available
Amazon.it,ANON-914-7811653-5425961,2026-01-06T13:31:52Z,Not Applicable,EUR,24.12,4.54,0,0,20.14,9.94,4.05,B0511MKFAZ,New,1,Not Available,Closed,Shipped,2026-01-08T12:08:49.793Z,next-it,"Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy","Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy",CORRIERE_IT(4SHNF877VREN),"Scopri i fumetti 'Supereroi della Giungla' di Comics World, una collezione di 5 storie emozionanti. Ogni volume è stampato su carta riciclata e illustrato con colori brillanti. Ideale per lettori di tutte le età.",Not Available,Not Available,Not Available,Not Available
Amazon.it,ANON-982-2507895-1691569,2026-01-06T13:31:52Z,Not Applicable,EUR,4.41,1.13,0,0,7.26,7.73,1.14,B071YZOYN6,New,1,Not Available,Closed,Shipped,2026-01-08T00:34:03.912Z,premium-three-it,"Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy","Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy",CORRIERE_IT(HCWI64CIYHE7),"Gel Unica per Decorazione Unghie CrazyNails, 5 ml. Questo gel per unghie offre una finitura brillante e duratura. Facile da applicare e disponibile in diverse colorazioni, per unghie creative e originali.",Not Available,Not Available,Not Available,Not Available
Amazon.it,ANON-547-8104447-6904382,2026-01-03T22:07:13Z,Not Applicable,EUR,1.04,0.61,0,0,3.06,2.76,0.58,B0GQPKI7P5,New,1,Not Available,Closed,Shipped,2026-01-05T15:00:41.076Z,next-it,"Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy","Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy",CORRIERE_IT(4FRHOCN9J2QP),"Stivali alti di Trendy Footwear, in ecopelle nera, tacco di 8 cm. Taglie disponibili: 36-41. Stile e comodità per ogni outfit, ideali per l'inverno.",Not Available,Not Available,Not Available,Not Available
Amazon.it,ANON-995-7129557-0558190,2026-01-03T22:07:13Z,Not Applicable,EUR,10.79,2.8,0,0,14.65,16.84,1.82,B0GVYIE6IV,New,1,Not Available,Closed,Shipped,2026-01-04T23:31:12.491Z,next-it,"Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy","Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy",CORRIERE_IT(ZIOYKL1CQ99C),"Cintura elegante di Stile Italiano, realizzata in vera pelle nera. Pratica fibbia in metallo argentato, lunghezza 100 cm, regolabile per adattarsi a ogni silhouette. Perfetta per completare un outfit formale.",Not Available,Not Available,Not Available,Not Available
Amazon.it,ANON-229-8831876-9608269,2026-01-03T19:32:28Z,Not Applicable,EUR,2.6,0.43,0.08,'-0.18',3.22,34.56,3.11,B0EEDTJVZH,New,1,Not Available,Closed,Shipped,2026-01-07T11:36:11.258Z,std-intl-ags,"Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy","Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy",CORRIERE_IT(ME9FPZUE8YFB),"Gioca a 'Venti e Maree' di Edizioni Mare, un gioco in scatola di avventura marina per 2-6 giocatori. Con una durata di 90 minuti, dovrai navigare e competere per conquistare il mare. Contiene tessere elaborate e dadi personalizzati.",Not Available,Not Available,Not Available,Not Available
Amazon.it,ANON-354-0399036-6358979,2026-01-03T19:32:28Z,Not Applicable,EUR,1.03,0.23,0.08,'-0.08',1.11,15.81,7.84,B0IF2GOG72,New,1,Not Available,Closed,Shipped,2026-01-07T11:36:11.258Z,std-intl-ags,"Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy","Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy",CORRIERE_IT(4I3QK2IAGL58),"Crema Idratante Latte di Mandorla Nutriente di CremaMorbida, 200 ml. Questo prodotto offre un'idratazione profonda e duratura, grazie alle proprietà emollienti del latte di mandorla. Ideale per pelli secche e disidratate.",Not Available,Not Available,Not Available,Not Available
Amazon.it,ANON-263-9591919-2147365,2026-01-03T19:32:28Z,Not Applicable,EUR,2.87,0.42,0.07,'-0.33',2.97,35.05,6.96,B0NUJZA7TZ,New,1,Not Available,Closed,Shipped,2026-01-07T11:36:11.258Z,std-intl-ags,"Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy","Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy",CORRIERE_IT(KLOOKEP7Y6WK),"Diffuseur di aromi della linea AromaPerfume, elegante e contemporaneo. Funziona con oli essenziali, creando un'atmosfera rilassante e profumata in ogni stanza della casa. Compatibile con USB, perfetto per ogni ambiente.",Not Available,Not Available,Not Available,Not Available
Amazon.it,ANON-502-4564424-9710563,2026-01-03T19:32:28Z,Not Applicable,EUR,5.89,1.89,0.06,'-0.9',6.0,23.39,3.7,B031YIHAIR,New,1,Not Available,Closed,Shipped,2026-01-07T11:36:11.258Z,std-intl-ags,"Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy","Camilla Asmundo-Leone Via Loredana, 18 Floridia DESIO 25129 Italy",CORRIERE_IT(Y6452H2ZQU7E),"Lampada LED SmartLight di NovaLamp, controllabile tramite app. Colore bianco e RGB, con vari livelli di luminosità. Design elegante, ideale per ogni ambiente domestico o lavorativo.",Not Available,Not Available,Not Available,Not Available
